player_id,condition,round_index,correct_answer,independent_guess,revised_guess,neighbors_choice,score,difficulty,alter_1,alter_2,alter_3,in_degree,independent_error,revised_error,cumulative_score,increment,round_after_shock
0,dynamic_network_2,0,9,5,20,"[2, 5]",11.0,easy,2,5,,2,4,11,11.0,,0
0,dynamic_network_2,1,78,85,28,"[2, 1]",50.0,easy,2,5,,2,7,50,61.0,50.0,1
0,dynamic_network_2,2,91,85,75,"[1, 3]",16.0,easy,2,1,,2,6,16,77.0,16.0,2
0,dynamic_network_2,3,47,55,63,"[2, 5]",16.0,easy,1,3,,2,8,16,93.0,16.0,3
0,dynamic_network_2,4,8,10,35,"[2, 4]",27.0,easy,2,5,,2,2,27,120.0,27.0,4
0,dynamic_network_2,5,27,10,25,"[4, 5]",2.0,hard,2,4,,2,17,2,122.0,2.0,5
0,dynamic_network_2,6,58,30,55,"[1, 3]",2.999999999999993,hard,4,5,,2,28,3,125.0,3.0,6
0,dynamic_network_2,7,78,5,40,"[4, 5]",38.0,hard,1,3,,2,73,38,163.0,38.0,7
0,dynamic_network_2,8,3,85,5,"[1, 3]",2.0,hard,4,5,,2,82,2,165.0,2.0,8
0,dynamic_network_2,9,8,60,26,,18.0,hard,1,3,,2,52,18,183.0,18.0,9
1,dynamic_network_2,0,9,10,20,"[0, 2]",11.0,medium,0,2,,2,1,11,11.0,-172.0,0
1,dynamic_network_2,1,78,5,25,"[3, 4]",53.0,medium,0,2,,2,73,53,64.0,53.0,1
1,dynamic_network_2,2,91,85,75,"[0, 3]",16.0,medium,3,4,,2,6,16,80.0,16.0,2
1,dynamic_network_2,3,47,55,63,"[0, 3]",16.0,medium,0,3,,2,8,16,96.0,16.0,3
1,dynamic_network_2,4,8,10,40,"[2, 3]",32.0,medium,0,3,,2,2,32,128.0,32.0,4
1,dynamic_network_2,5,27,10,15,"[0, 4]",12.0,easy,2,3,,2,17,12,140.0,12.0,5
1,dynamic_network_2,6,58,80,55,"[2, 5]",2.999999999999993,easy,0,4,,2,22,3,143.0,3.0,6
1,dynamic_network_2,7,78,85,55,"[4, 5]",23.0,easy,2,5,,2,7,23,166.0,23.0,7
1,dynamic_network_2,8,3,5,5,"[0, 2]",2.0,easy,4,5,,2,2,2,168.0,2.0,8
1,dynamic_network_2,9,8,5,26,,18.0,easy,0,2,,2,3,18,186.0,18.0,9
2,dynamic_network_2,0,9,60,12,"[5, 0]",3.0,hard,3,5,,2,51,3,3.0,-183.0,0
2,dynamic_network_2,1,78,40,35,"[1, 4]",43.0,hard,5,0,,2,38,43,46.0,43.0,1
2,dynamic_network_2,2,91,30,60,"[1, 0]",31.0,hard,1,4,,2,61,31,77.0,31.0,2
2,dynamic_network_2,3,47,5,50,"[3, 5]",3.0,hard,1,0,,2,42,3,80.0,3.0,3
