player_id,condition,round_index,correct_answer,independent_guess,revised_guess,neighbors_choice,score,difficulty,alter_1,alter_2,alter_3,in_degree,independent_error,revised_error,cumulative_score,increment,round_after_shock
0,static_network,0,9,5,10,,1.0,easy,2,5,,2,4,1,1.0,,0
0,static_network,1,78,85,20,,58.0,easy,2,5,,2,7,58,59.0,58.0,1
0,static_network,2,91,85,75,,16.0,easy,2,5,,2,6,16,75.0,16.0,2
0,static_network,3,47,80,50,,3.0,easy,2,5,,2,33,3,78.0,3.0,3
0,static_network,4,8,5,12,,4.0,easy,2,5,,2,3,4,82.0,4.0,4
0,static_network,5,27,10,10,,17.0,hard,2,5,,2,17,17,99.0,17.0,5
0,static_network,6,58,45,65,,7.000000000000007,hard,2,5,,2,13,7,106.0,7.0,6
0,static_network,7,78,35,55,,23.0,hard,2,5,,2,43,23,129.0,23.0,7
0,static_network,8,3,80,45,,42.0,hard,2,5,,2,77,42,171.0,42.0,8
0,static_network,9,8,5,7,,1.0,hard,2,5,,2,3,1,172.0,1.0,9
1,static_network,0,9,10,10,,1.0,medium,0,2,,2,1,1,1.0,-171.0,0
1,static_network,1,78,10,10,,68.0,medium,0,2,,2,68,68,69.0,68.0,1
1,static_network,2,91,90,80,,11.0,medium,0,2,,2,1,11,80.0,11.0,2
1,static_network,3,47,60,60,,13.0,medium,0,2,,2,13,13,93.0,13.0,3
1,static_network,4,8,10,10,,2.0,medium,0,2,,2,2,2,95.0,2.0,4
1,static_network,5,27,5,5,,22.0,easy,0,2,,2,22,22,117.0,22.0,5
1,static_network,6,58,90,70,,12.000000000000007,easy,0,2,,2,32,12,129.0,12.0,6
1,static_network,7,78,90,70,,8.0,easy,0,2,,2,12,8,137.0,8.0,7
1,static_network,8,3,5,5,,2.0,easy,0,2,,2,2,2,139.0,2.0,8
1,static_network,9,8,3,3,,5.0,easy,0,2,,2,5,5,144.0,5.0,9
2,static_network,0,9,60,4,,5.0,hard,3,5,,2,51,5,5.0,-139.0,0
2,static_network,1,78,30,35,,43.0,hard,3,5,,2,48,43,48.0,43.0,1
2,static_network,2,91,25,80,,11.0,hard,3,5,,2,66,11,59.0,11.0,2
2,static_network,3,47,5,50,,3.0,hard,3,5,,2,42,3,62.0,3.0,3
2,static_network,4,8,60,10,,2.0,hard,3,5,,2,52,2,64.0,2.0,4
2,static_network,5,27,75,20,,7.0,medium,3,5,,2,48,7,71.0,7.0,5
2,static_network,6,58,50,68,,10.000000000000007,medium,3,5,,2,8,10,81.0,10.0,6
2,static_network,7,78,65,53,,25.0,medium,3,5,,2,13,25,106.0,25.0,7
2,static_network,8,3,10,30,,27.0,medium,3,5,,2,7,27,133.0,27.0,8
2,static_network,9,8,30,8,,0.0,medium,3,5,,2,22,0,133.0,0.0,9
3,static_network,0,9,0,4,,5.0,easy,4,0,,2,9,5,5.0,-128.0,0
3,static_network,1,78,85,60,,18.0,easy,4,0,,2,7,18,23.0,18.0,1
3,static_network,2,91,85,80,,11.0,easy,4,0,,2,6,11,34.0,11.0,2
3,static_network,3,47,85,50,,3.0,easy,4,0,,2,38,3,37.0,3.0,3
3,static_network,4,8,10,25,,17.0,easy,4,0,,2,2,17,54.0,17.0,4
3,static_network,5,27,5,20,,7.0,hard,4,0,,2,22,7,61.0,7.0,5
3,static_network,6,58,40,75,,17.000000000000007,hard,4,0,,2,18,17,78.0,17.0,6
3,static_network,7,78,5,65,,13.0,hard,4,0,,2,73,13,91.0,13.0,7
3,static_network,8,3,85,20,,17.0,hard,4,0,,2,82,17,108.0,17.0,8
3,static_network,9,8,30,20,,12.0,hard,4,0,,2,22,12,120.0,12.0,9
4,static_network,0,9,10,10,,1.0,medium,1,2,,2,1,1,1.0,-119.0,0
4,static_network,1,78,5,5,,73.0,medium,1,2,,2,73,73,74.0,73.0,1
4,static_network,2,91,85,80,,11.0,medium,1,2,,2,6,11,85.0,11.0,2
4,static_network,3,47,75,60,,13.0,medium,1,2,,2,28,13,98.0,13.0,3
4,static_network,4,8,15,15,,7.0,medium,1,2,,2,7,7,105.0,7.0,4
4,static_network,5,27,10,10,,17.0,easy,1,2,,2,17,17,122.0,17.0,5
4,static_network,6,58,85,70,,12.000000000000007,easy,1,2,,2,27,12,134.0,12.0,6
4,static_network,7,78,85,80,,2.0,easy,1,2,,2,7,2,136.0,2.0,7
4,static_network,8,3,10,10,,7.0,easy,1,2,,2,7,7,143.0,7.0,8
4,static_network,9,8,5,5,,3.0,easy,1,2,,2,3,3,146.0,3.0,9
5,static_network,0,9,40,3,,6.0,hard,4,3,,2,31,6,6.0,-140.0,0
5,static_network,1,78,60,45,,33.0,hard,4,3,,2,18,33,39.0,33.0,1
5,static_network,2,91,60,82,,9.0,hard,4,3,,2,31,9,48.0,9.0,2
5,static_network,3,47,5,50,,3.0,hard,4,3,,2,42,3,51.0,3.0,3
5,static_network,4,8,50,18,,10.0,hard,4,3,,2,42,10,61.0,10.0,4
5,static_network,5,27,70,20,,7.0,medium,4,3,,2,43,7,68.0,7.0,5
5,static_network,6,58,60,75,,17.000000000000007,medium,4,3,,2,2,17,85.0,17.0,6
5,static_network,7,78,65,65,,13.0,medium,4,3,,2,13,13,98.0,13.0,7
5,static_network,8,3,10,15,,12.0,medium,4,3,,2,7,12,110.0,12.0,8
5,static_network,9,8,65,10,,2.0,medium,4,3,,2,57,2,112.0,2.0,9
